date,ticker,signal,confidence,rejection_reason,rejection_layer
2024-01-19,HD,BUY,0.604343,Sector Consumer at max 3 positions,sector_limit
2024-01-22,TXN,BUY,0.648787,Sector Tech at max 3 positions,sector_limit
2024-01-22,PG,BUY,0.63189,Sector Consumer at max 3 positions,sector_limit
2024-01-22,WMT,BUY,0.629171,Sector Consumer at max 3 positions,sector_limit
2024-01-22,UNH,BUY,0.603102,Sector Health at max 3 positions,sector_limit
2024-01-23,AMGN,BUY,0.613609,Already holding position,backtest
2024-01-23,WMT,BUY,0.602348,Sector Consumer at max 3 positions,sector_limit
2024-01-24,PG,BUY,0.629171,Already holding position,backtest
2024-01-24,MSFT,BUY,0.622793,In cooldown until 2024-01-29; need confidence ≥ 0.67,cooldown
2024-01-24,AMGN,BUY,0.613609,In cooldown until 2024-01-30; need confidence ≥ 0.70,cooldown
2024-01-24,GS,BUY,0.604343,Already holding position,backtest
2024-01-24,ADBE,BUY,0.604343,Already holding position,backtest
2024-01-24,HD,BUY,0.603762,Already holding position,backtest
2024-01-24,UNH,BUY,0.600989,Already holding position,backtest
2024-01-25,CSCO,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-25,AAPL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-25,MSFT,BUY,0.604343,In cooldown until 2024-01-29; need confidence ≥ 0.67,cooldown
2024-01-25,GS,BUY,0.604343,In cooldown until 2024-01-31; need confidence ≥ 0.65,cooldown
2024-01-25,PG,BUY,0.602348,Already holding position,backtest
2024-01-26,MS,BUY,0.658602,In cooldown until 2024-01-29; need confidence ≥ 0.69,cooldown
2024-01-26,AMZN,BUY,0.622793,Sector Tech at max 3 positions,sector_limit
2024-01-26,PG,BUY,0.620261,Already holding position,backtest
2024-01-26,ORCL,BUY,0.606289,Sector Tech at max 3 positions,sector_limit
2024-01-26,UNH,BUY,0.604343,Already holding position,backtest
2024-01-26,KO,BUY,0.600989,In cooldown until 2024-01-29; need confidence ≥ 0.66,cooldown
2024-01-29,QCOM,BUY,0.638383,Already holding position,backtest
2024-01-29,MSFT,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-01-29,CAT,BUY,0.623364,Already holding position,backtest
2024-01-29,DIS,BUY,0.622793,Already holding position,backtest
2024-01-29,TXN,BUY,0.613609,Already holding position,backtest
2024-01-29,ABBV,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-01-30,CSCO,BUY,0.669566,Sector Tech at max 3 positions,sector_limit
2024-01-30,PYPL,BUY,0.641708,Sector Tech at max 3 positions,sector_limit
2024-01-30,PG,BUY,0.616805,Already holding position,backtest
2024-01-30,AMZN,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-30,META,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-01-31,WMT,BUY,0.674172,Already holding position,backtest
2024-01-31,MRK,BUY,0.622793,Sector Health at max 3 positions,sector_limit
2024-01-31,UNH,BUY,0.617523,Already holding position,backtest
2024-01-31,AMZN,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-01-31,CAT,BUY,0.613609,Already holding position,backtest
2024-01-31,ADBE,BUY,0.604343,Already holding position,backtest
2024-02-01,ADBE,BUY,0.640894,Already holding position,backtest
2024-02-01,GOOGL,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-02-01,COST,BUY,0.63189,Sector Consumer at max 3 positions,sector_limit
2024-02-01,LLY,BUY,0.63189,Already holding position,backtest
2024-02-01,PEP,BUY,0.630884,Sector Consumer at max 3 positions,sector_limit
2024-02-01,AMZN,BUY,0.622793,Sector Tech at max 3 positions,sector_limit
2024-02-01,PYPL,BUY,0.619864,Sector Tech at max 3 positions,sector_limit
2024-02-01,CRM,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-01,UNH,BUY,0.613609,Already holding position,backtest
2024-02-01,AXP,BUY,0.610267,Already holding position,backtest
2024-02-01,JNJ,BUY,0.609474,Sector Health at max 3 positions,sector_limit
2024-02-01,WFC,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-02-02,AXP,BUY,0.705983,Already holding position,backtest
2024-02-02,ORCL,BUY,0.658602,Sector Tech at max 3 positions,sector_limit
2024-02-02,ADBE,BUY,0.658602,Already holding position,backtest
2024-02-02,PEP,BUY,0.627155,Sector Consumer at max 3 positions,sector_limit
2024-02-02,WMT,BUY,0.620261,Already holding position,backtest
2024-02-02,GS,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-02,PYPL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-02,GILD,BUY,0.608697,Sector Health at max 3 positions,sector_limit
2024-02-02,BRK-B,BUY,0.604343,Already holding position,backtest
2024-02-05,AXP,BUY,0.643729,Already holding position,backtest
2024-02-05,GILD,BUY,0.625602,Sector Health at max 3 positions,sector_limit
2024-02-05,JPM,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-05,MS,BUY,0.613609,Already holding position,backtest
2024-02-05,PEP,BUY,0.609118,Sector Consumer at max 3 positions,sector_limit
2024-02-06,UNH,BUY,0.63364,Already holding position,backtest
2024-02-06,BAC,BUY,0.63189,Sector Finance at max 3 positions,sector_limit
2024-02-06,MS,BUY,0.63189,Already holding position,backtest
2024-02-06,COST,BUY,0.63189,Sector Consumer at max 3 positions,sector_limit
2024-02-06,GOOGL,BUY,0.622793,Sector Tech at max 3 positions,sector_limit
2024-02-06,MU,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-06,QCOM,BUY,0.613609,Already holding position,backtest
2024-02-06,PEP,BUY,0.610039,Sector Consumer at max 3 positions,sector_limit
2024-02-06,ADBE,BUY,0.604343,In cooldown until 2024-02-09; need confidence ≥ 0.69,cooldown
2024-02-06,AMGN,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-02-07,PYPL,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-02-07,COST,BUY,0.613609,Sector Consumer at max 3 positions,sector_limit
2024-02-07,MS,BUY,0.613609,Already holding position,backtest
2024-02-07,ADBE,BUY,0.604343,In cooldown until 2024-02-09; need confidence ≥ 0.69,cooldown
2024-02-07,WFC,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-02-07,INTC,BUY,0.604343,Already holding position,backtest
2024-02-07,DIS,BUY,0.604343,Already holding position,backtest
2024-02-07,PEP,BUY,0.603102,Sector Consumer at max 3 positions,sector_limit
2024-02-08,GILD,BUY,0.65201,Sector Health at max 3 positions,sector_limit
2024-02-08,QCOM,BUY,0.613609,Already holding position,backtest
2024-02-08,JPM,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-08,JNJ,BUY,0.610267,Sector Health at max 3 positions,sector_limit
2024-02-08,MRK,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-02-08,AMZN,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-02-08,PG,BUY,0.604343,Already holding position,backtest
2024-02-08,GS,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-02-08,NFLX,BUY,0.602348,Sector Tech at max 3 positions,sector_limit
2024-02-08,MS,BUY,0.600989,Already holding position,backtest
2024-02-09,COST,BUY,0.6498,Sector Consumer at max 3 positions,sector_limit
2024-02-09,MS,BUY,0.622793,Already holding position,backtest
2024-02-09,AAPL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-09,BAC,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-09,TMO,BUY,0.604343,Already holding position,backtest
2024-02-12,PYPL,BUY,0.638809,Sector Tech at max 3 positions,sector_limit
2024-02-12,NFLX,BUY,0.621831,Sector Tech at max 3 positions,sector_limit
2024-02-12,BAC,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-12,WFC,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-02-12,MS,BUY,0.604343,Already holding position,backtest
2024-02-13,MRK,BUY,0.640894,Sector Health at max 3 positions,sector_limit
2024-02-13,CAT,BUY,0.622532,Already holding position,backtest
2024-02-13,GS,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-13,MS,BUY,0.607188,Already holding position,backtest
2024-02-14,WFC,BUY,0.63189,Sector Finance at max 3 positions,sector_limit
2024-02-14,WMT,BUY,0.613609,In cooldown until 2024-02-21; need confidence ≥ 0.66,cooldown
2024-02-14,MS,BUY,0.610468,Already holding position,backtest
2024-02-14,PYPL,BUY,0.605738,Sector Tech at max 3 positions,sector_limit
2024-02-15,DIS,BUY,0.629171,Already holding position,backtest
2024-02-15,GS,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-15,BAC,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-02-16,UNH,BUY,0.63364,Sector Health at max 3 positions,sector_limit
2024-02-16,DIS,BUY,0.629171,Already holding position,backtest
2024-02-16,AMGN,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-02-16,MA,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-02-16,TMO,BUY,0.604343,In cooldown until 2024-02-22; need confidence ≥ 0.66,cooldown
2024-02-16,AAPL,BUY,0.602348,Sector Tech at max 3 positions,sector_limit
2024-02-20,CRM,BUY,0.640894,Sector Tech at max 3 positions,sector_limit
2024-02-20,ORCL,BUY,0.633021,Already holding position,backtest
2024-02-20,DIS,BUY,0.624368,Already holding position,backtest
2024-02-20,AAPL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-20,CVX,BUY,0.613609,Already holding position,backtest
2024-02-20,NFLX,BUY,0.608187,Sector Tech at max 3 positions,sector_limit
2024-02-20,ISRG,BUY,0.604343,Already holding position,backtest
2024-02-20,CAT,BUY,0.604343,Already holding position,backtest
2024-02-21,UNH,BUY,0.666545,Sector Health at max 3 positions,sector_limit
2024-02-21,PYPL,BUY,0.657351,Sector Tech at max 3 positions,sector_limit
2024-02-21,HD,BUY,0.6498,Already holding position,backtest
2024-02-21,CVX,BUY,0.625602,Already holding position,backtest
2024-02-21,MS,BUY,0.622793,In cooldown until 2024-02-26; need confidence ≥ 0.68,cooldown
2024-02-21,TMO,BUY,0.622793,In cooldown until 2024-02-22; need confidence ≥ 0.66,cooldown
2024-02-21,V,BUY,0.613609,Already holding position,backtest
2024-02-21,QQQ,BUY,0.613609,In cooldown until 2024-02-27; need confidence ≥ 0.66,cooldown
2024-02-21,AMGN,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-02-21,LLY,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-02-21,DIS,BUY,0.605738,Already holding position,backtest
2024-02-22,DIS,BUY,0.65201,Already holding position,backtest
2024-02-22,XOM,BUY,0.65201,Already holding position,backtest
2024-02-22,CVX,BUY,0.638383,Already holding position,backtest
2024-02-22,GOOGL,BUY,0.633021,Sector Tech at max 3 positions,sector_limit
2024-02-22,ORCL,BUY,0.629171,Already holding position,backtest
2024-02-22,UNH,BUY,0.629171,Sector Health at max 3 positions,sector_limit
2024-02-22,PYPL,BUY,0.620713,Sector Tech at max 3 positions,sector_limit
2024-02-22,BRK-B,BUY,0.604343,In cooldown until 2024-02-26; need confidence ≥ 0.67,cooldown
2024-02-22,TMO,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-02-23,XOM,BUY,0.688532,Already holding position,backtest
2024-02-23,MS,BUY,0.658602,In cooldown until 2024-02-26; need confidence ≥ 0.68,cooldown
2024-02-23,DIS,BUY,0.638383,Already holding position,backtest
2024-02-23,TMO,BUY,0.622793,Sector Health at max 3 positions,sector_limit
2024-02-23,GOOGL,BUY,0.619864,Sector Tech at max 3 positions,sector_limit
2024-02-23,UNH,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-02-23,MRK,BUY,0.604343,Already holding position,backtest
2024-02-23,CRM,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-02-26,CVX,BUY,0.667914,Already holding position,backtest
2024-02-26,XOM,BUY,0.660619,Already holding position,backtest
2024-02-26,UNH,BUY,0.635761,Sector Health at max 3 positions,sector_limit
2024-02-26,JNJ,BUY,0.629171,Sector Health at max 3 positions,sector_limit
2024-02-26,ISRG,BUY,0.622793,Already holding position,backtest
2024-02-26,META,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-26,MSFT,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-02-26,CRM,BUY,0.603443,Sector Tech at max 3 positions,sector_limit
2024-02-27,GS,BUY,0.640894,Already holding position,backtest
2024-02-27,JNJ,BUY,0.629171,Sector Health at max 3 positions,sector_limit
2024-02-27,AAPL,BUY,0.621231,Sector Tech at max 3 positions,sector_limit
2024-02-27,GOOGL,BUY,0.619195,Sector Tech at max 3 positions,sector_limit
2024-02-27,AMZN,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-02-27,AMGN,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-02-28,AMZN,BUY,0.640894,Sector Tech at max 3 positions,sector_limit
2024-02-28,ADBE,BUY,0.623364,Sector Tech at max 3 positions,sector_limit
2024-02-28,GS,BUY,0.622793,Already holding position,backtest
2024-02-28,GOOGL,BUY,0.606768,Sector Tech at max 3 positions,sector_limit
2024-02-28,CRM,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-02-29,AMGN,BUY,0.67831,Sector Health at max 3 positions,sector_limit
2024-02-29,JNJ,BUY,0.667297,Sector Health at max 3 positions,sector_limit
2024-02-29,TXN,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-02-29,TMO,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-01,INTC,BUY,0.667914,In cooldown until 2024-03-04; need confidence ≥ 0.71,cooldown
2024-03-01,AAPL,BUY,0.61725,Sector Tech at max 3 positions,sector_limit
2024-03-01,AMGN,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-03-01,HD,BUY,0.613609,Already holding position,backtest
2024-03-01,JNJ,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-04,MS,BUY,0.705983,Already holding position,backtest
2024-03-04,MRK,BUY,0.6498,Already holding position,backtest
2024-03-04,CRM,BUY,0.644468,Sector Tech at max 3 positions,sector_limit
2024-03-04,NFLX,BUY,0.6394,Sector Tech at max 3 positions,sector_limit
2024-03-04,GS,BUY,0.622793,Already holding position,backtest
2024-03-04,V,BUY,0.613609,Already holding position,backtest
2024-03-04,MSFT,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-03-04,GOOGL,BUY,0.602348,Sector Tech at max 3 positions,sector_limit
2024-03-05,GS,BUY,0.6498,Already holding position,backtest
2024-03-05,ADBE,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-05,MSFT,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-05,MS,BUY,0.613609,Already holding position,backtest
2024-03-05,MRK,BUY,0.604343,Already holding position,backtest
2024-03-06,JPM,BUY,0.684344,Sector Finance at max 3 positions,sector_limit
2024-03-06,GS,BUY,0.63189,Already holding position,backtest
2024-03-06,WFC,BUY,0.629171,Sector Finance at max 3 positions,sector_limit
2024-03-06,BAC,BUY,0.622793,Sector Finance at max 3 positions,sector_limit
2024-03-06,AMGN,BUY,0.617523,Already holding position,backtest
2024-03-06,JNJ,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-03-06,PEP,BUY,0.609118,Already holding position,backtest
2024-03-06,MRK,BUY,0.604343,In cooldown until 2024-03-12; need confidence ≥ 0.67,cooldown
2024-03-06,HD,BUY,0.604343,Already holding position,backtest
2024-03-07,BAC,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-03-07,JPM,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-03-07,GS,BUY,0.613609,Already holding position,backtest
2024-03-07,AMGN,BUY,0.609474,Already holding position,backtest
2024-03-07,GOOGL,BUY,0.607188,Sector Tech at max 3 positions,sector_limit
2024-03-07,QQQ,BUY,0.604343,Already holding position,backtest
2024-03-07,MRK,BUY,0.604343,In cooldown until 2024-03-12; need confidence ≥ 0.67,cooldown
2024-03-07,TMO,BUY,0.604343,Already holding position,backtest
2024-03-08,SPY,BUY,0.613609,Already holding position,backtest
2024-03-08,TXN,BUY,0.613609,Already holding position,backtest
2024-03-08,TMO,BUY,0.613609,Already holding position,backtest
2024-03-08,PG,BUY,0.604343,Sector Consumer at max 3 positions,sector_limit
2024-03-11,PYPL,BUY,0.6498,Sector Tech at max 3 positions,sector_limit
2024-03-11,PFE,BUY,0.63189,Sector Health at max 3 positions,sector_limit
2024-03-11,GOOGL,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-03-11,GS,BUY,0.613609,Already holding position,backtest
2024-03-11,INTC,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-03-12,ADBE,BUY,0.635761,Sector Tech at max 3 positions,sector_limit
2024-03-12,QQQ,BUY,0.63189,Already holding position,backtest
2024-03-12,SPY,BUY,0.622793,In cooldown until 2024-03-18; need confidence ≥ 0.66,cooldown
2024-03-12,V,BUY,0.622793,In cooldown until 2024-03-15; need confidence ≥ 0.68,cooldown
2024-03-12,AAPL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-12,MA,BUY,0.613609,Sector Finance at max 3 positions,sector_limit
2024-03-12,KO,BUY,0.604343,Already holding position,backtest
2024-03-12,ABBV,BUY,0.604343,Already holding position,backtest
2024-03-12,HD,BUY,0.604343,In cooldown until 2024-03-15; need confidence ≥ 0.66,cooldown
2024-03-12,NFLX,BUY,0.602348,Already holding position,backtest
2024-03-13,QCOM,BUY,0.693962,Sector Tech at max 3 positions,sector_limit
2024-03-13,JPM,BUY,0.640894,Already holding position,backtest
2024-03-13,PFE,BUY,0.630884,Sector Health at max 3 positions,sector_limit
2024-03-13,PG,BUY,0.622793,Sector Consumer at max 3 positions,sector_limit
2024-03-13,MSFT,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-13,ABBV,BUY,0.613609,Already holding position,backtest
2024-03-13,ADBE,BUY,0.609474,Sector Tech at max 3 positions,sector_limit
2024-03-13,PYPL,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-03-13,CRM,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-03-14,MSFT,BUY,0.640894,Sector Tech at max 3 positions,sector_limit
2024-03-14,PFE,BUY,0.635761,Sector Health at max 3 positions,sector_limit
2024-03-14,QQQ,BUY,0.63189,Already holding position,backtest
2024-03-14,ISRG,BUY,0.63189,Sector Health at max 3 positions,sector_limit
2024-03-14,JPM,BUY,0.622793,Already holding position,backtest
2024-03-14,ABBV,BUY,0.622793,Already holding position,backtest
2024-03-14,JNJ,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-14,ADBE,BUY,0.602348,Sector Tech at max 3 positions,sector_limit
2024-03-15,MU,BUY,0.632552,Already holding position,backtest
2024-03-15,QQQ,BUY,0.63189,Already holding position,backtest
2024-03-15,MRK,BUY,0.63189,Sector Health at max 3 positions,sector_limit
2024-03-15,ORCL,BUY,0.620713,Sector Tech at max 3 positions,sector_limit
2024-03-15,PEP,BUY,0.608187,Already holding position,backtest
2024-03-18,ISRG,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-18,KO,BUY,0.604343,In cooldown until 2024-03-20; need confidence ≥ 0.67,cooldown
2024-03-19,JPM,BUY,0.658602,Already holding position,backtest
2024-03-19,CVX,BUY,0.658602,Already holding position,backtest
2024-03-19,MSFT,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-03-19,COST,BUY,0.622793,Already holding position,backtest
2024-03-19,TMO,BUY,0.622793,Already holding position,backtest
2024-03-19,MRK,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-19,ISRG,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-20,AVGO,BUY,0.667914,Sector Tech at max 3 positions,sector_limit
2024-03-20,MSFT,BUY,0.6498,Sector Tech at max 3 positions,sector_limit
2024-03-20,TMO,BUY,0.640894,Already holding position,backtest
2024-03-20,COST,BUY,0.640894,Already holding position,backtest
2024-03-20,PG,BUY,0.613609,Already holding position,backtest
2024-03-20,AAPL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-20,LLY,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-03-20,PEP,BUY,0.606768,In cooldown until 2024-03-22; need confidence ≥ 0.69,cooldown
2024-03-20,AMZN,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-03-20,JPM,BUY,0.604343,Already holding position,backtest
2024-03-21,AMZN,BUY,0.6498,Sector Tech at max 3 positions,sector_limit
2024-03-21,CRM,BUY,0.622793,Sector Tech at max 3 positions,sector_limit
2024-03-21,MRK,BUY,0.622793,Sector Health at max 3 positions,sector_limit
2024-03-21,WFC,BUY,0.613609,Already holding position,backtest
2024-03-21,QQQ,BUY,0.604343,Already holding position,backtest
2024-03-21,JNJ,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-22,V,BUY,0.63189,Sector Finance at max 3 positions,sector_limit
2024-03-22,AMZN,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-22,GOOGL,BUY,0.613609,Sector Tech at max 3 positions,sector_limit
2024-03-22,GE,BUY,0.606768,Already holding position,backtest
2024-03-22,GS,BUY,0.604343,Sector Finance at max 3 positions,sector_limit
2024-03-22,WFC,BUY,0.604343,Already holding position,backtest
2024-03-25,GOOGL,BUY,0.63189,Sector Tech at max 3 positions,sector_limit
2024-03-25,CVX,BUY,0.622793,Already holding position,backtest
2024-03-25,MRK,BUY,0.613609,Sector Health at max 3 positions,sector_limit
2024-03-25,LLY,BUY,0.604343,Sector Health at max 3 positions,sector_limit
2024-03-25,PYPL,BUY,0.604343,Sector Tech at max 3 positions,sector_limit
2024-03-26,CVX,BUY,0.6498,Already holding position,backtest
2024-03-27,LLY,BUY,0.63189,Sector Health at max 3 positions,sector_limit
2024-03-27,META,BUY,0.629171,Sector Tech at max 3 positions,sector_limit
2024-03-27,PEP,BUY,0.622793,Sector Consumer at max 3 positions,sector_limit
2024-03-27,ISRG,BUY,0.604343,Already holding position,backtest
2024-03-27,CVX,BUY,0.604343,Already holding position,backtest
2024-03-28,GOOGL,BUY,0.6498,Already holding position,backtest
2024-03-28,ABBV,BUY,0.640894,In cooldown until 2024-04-04; need confidence ≥ 0.69,cooldown
